Ticker Symbol,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,For Year,Earnings Per Share,Estimated Shares Outstanding,Sector,Next Qtr. Avg. Price,Q avg to Q avg Price % Change,Y avg to Y avg Price % Change,Up or Down Q over Q,Up or Down Y over Y,"Buy, Hold, or Sell"
APH,2012-12-31,-0.3925489708810624,-0.09475628974491666,-0.10358512192184732,-0.09727066648428494,0.3979087011746174,-0.45356558561479515,0.319247244787404,-0.3688219322195079,0.08317419614010385,-0.21677048595701148,-0.32477459756016025,0.9569708779507272,-0.20756810028820027,-0.3768388223353116,-0.43072470330125345,-0.28417679643664456,-0.2595141418345097,0.3645465983799376,-0.12701299293841617,-0.42819660563176687,-0.22033390070456335,-0.7030635986586848,-0.439905624180645,-0.23244451439236347,-0.2814060381299827,-0.434427560741526,-0.24707957963977048,0.03301838074456809,0.03179890676129202,-0.4549279518769481,-0.2013300754135564,-0.13249723894869167,-0.2332490033158854,-0.16580365890772453,0.06496319644663218,-0.38592594371634875,0.24904741593614074,0.35355473292068695,-0.26603552904159816,-0.2115250768709557,-0.2647699886753056,-0.25156766243817785,-0.2951699286978184,-0.2009164027876056,-0.2912377895869693,0.036681750620373405,-0.5322789690657124,-0.3962585344667705,-0.36362630559723874,0.24466990909096215,0.1289455769211867,0.06315490894388133,-0.38084206182263713,0.09216974437611537,-0.29234109296532007,0.04863274206006777,-0.09438766550774538,0.019644914363294748,0.6572351398942236,-0.3129548914090745,-0.24907792171227255,0.1988510480224229,-0.39057353940330436,-0.3564463221684695,-0.14897396665873452,-0.4937052674990847,-0.3726332172396741,-0.47535822633271607,-0.3905786678588894,-0.5056927451569426,-0.49321888665360886,-0.3808486384270863,0.27450343293023116,-0.054840452427444626,0.0226153798168584,-0.4216741366201456,Information Technology,-0.4730286109090806,14.62,33.47,1,1,0
APH,2013-12-31,-0.37644598911316196,0.06869629722627306,-0.09923855269331064,-0.10126792200096532,0.38925011999104336,-0.4358663814395748,0.00133486376202746,-0.30509311143658985,0.17292609135237444,-0.2167479746096986,-0.3183917316830154,0.09412978620516398,-0.20756810028820027,-0.3768388223353116,-0.4246449495122909,-0.27251885112398966,-0.24829398243269113,0.3981798258508003,-0.12701299293841617,-0.4228882125759134,-0.19237370777348153,-0.7030635986586848,-0.4322383934192107,-0.23829989872516877,-0.25585211697639526,-0.4248829893478263,-0.23230056602135965,0.055610139399466275,-0.07186337321699755,-0.47070273409818275,-0.2013300754135564,-0.12883770161548952,-0.2332490033158854,-0.13198172703363711,0.07399464001683694,-0.3708890238946685,0.2827097903827938,0.31048235095777804,-0.24690905688263937,-0.2079565442974744,-0.24563755668623685,-0.23420251441096537,-0.27985644123668246,-0.197079877362035,-0.27873319560507887,0.036681750620373405,-0.5322789690657124,-0.3615478570434869,-0.36362630559723874,0.26819840266833284,0.1289455769211867,-0.011132145157281595,-0.38601567573719,0.07022783831240788,-0.29234109296532007,0.04863274206006777,-0.09982987507286249,0.078534183114375,0.01626110699675027,-0.3129548914090745,-0.2412034546414157,0.21672670232488475,-0.38633227243147494,-0.12167960239666067,-0.14054342633346237,-0.4718818379066375,-0.3415316384087252,-0.4034020098862355,-0.3670605879784384,-0.4873186282883633,-0.4713952548099961,-0.37366928570898966,0.27450343293023116,-0.009835138172982899,0.13414665110679866,-0.42417975530772956,Information Technology,-0.3644929109197535,7.89,25.86,1,1,0
APH,2014-12-31,-0.3583052161640145,-0.07140592017760385,-0.09278455596002888,-0.09327341096760455,0.37426752388158246,-0.41626186314234215,0.5278772448353074,-0.27839172748008273,0.06967588999999982,-0.2167479746096986,-0.30391004807896305,1.1548702109198932,-0.20756810028820027,-0.3768388223353116,-0.4115755468094871,-0.24934909073240402,-0.22745890767326699,0.03914512259934096,-0.12701299293841617,-0.4201962453935237,-0.1461094937593877,-0.6583758907828138,-0.41492299309366687,-0.21292656661634582,-0.23726498745546928,-0.38479578949428767,-0.2139780227289445,0.05331924343602106,0.024087007039723763,-0.360317882418506,-0.2013300754135564,-0.12451283357219228,-0.2332490033158854,-0.08807967790886645,0.02332067831012157,-0.35308046842789037,0.25657715758868155,0.291372621153503,-0.2294478248370227,-0.2119963924938683,-0.2281708837011915,-0.21834925738114702,-0.2590458783610123,-0.18931091337525455,-0.25357796858749504,0.036681750620373405,-0.5322789690657124,-0.3873378696030025,-0.36362630559723874,0.2109747262689473,0.1289455769211867,-0.02107932425654179,-0.3696351817862859,0.10290391424900826,-0.29234109296532007,0.04863274206006777,-0.09166656072518684,0.019644914363294748,0.870893150860048,-0.3129548914090745,-0.2401340734963628,0.1478241802863045,-0.3745993088142489,-0.39499159260191835,-0.13186928861437944,-0.45314305603920074,-0.32120141857980355,-0.4596893414129757,-0.3644379837886786,-0.4602666623291475,-0.4526562992787245,-0.3574055815354465,0.27450343293023116,0.03517017608147883,-0.21239694182980146,-0.2689596054896054,Information Technology,-0.23482376844334701,9.4,13.93,1,1,0
APH,2015-12-31,-0.3631115168937148,0.09656609316145287,-0.09528712612191365,-0.09327341096760455,0.3852015683796111,-0.40193993025892755,1.0047458163733722,-0.028517509528993616,0.179556838228215,-0.2167479746096986,-0.29982798269241695,1.5665008234957583,-0.20756810028820027,-0.3768388223353116,-0.41012798638354364,-0.2382756663546455,-0.21417013481241107,-0.1609725808522921,-0.12701299293841617,-0.4193281667823929,-0.1353484036865124,-0.6583758907828138,-0.4088162860652755,-0.20101034586888242,-0.2400111208563048,-0.4136681179602292,-0.21744173639244216,0.19292291899304406,-0.08101004497978781,-0.3460053926568998,-0.2013300754135564,-0.12040639320784943,-0.2332490033158854,-0.2307521066877679,0.32861016490492473,-0.3292507734562445,0.20281701681943798,0.4541288526467983,-0.21650653024190628,-0.19927087067522745,-0.2152255565842097,-0.2065997044871127,-0.2622853384337531,-0.19736761676895279,-0.24078129649799845,0.08495702201608848,-0.5322789690657124,-0.38740485664861163,-0.36362630559723874,0.15644526805547448,0.1289455769211867,0.08076838531072424,-0.36791943834874064,0.18451517637085557,-0.29234109296532007,0.09420394391809078,-0.09166656072518684,0.078534183114375,1.298209172791697,-0.3129548914090745,-0.22723902731770088,0.23138473885290348,-0.3716992972095792,-0.3954993170764351,-0.1848081942236107,-0.4423176807703857,-0.29374941094930446,-0.46339993636742316,-0.34630971140392997,-0.45529893767118235,-0.4418308236844883,-0.35243834183712297,0.27450343293023116,0.08017549033594056,-0.17057271509607377,-0.2736228948733083,Information Technology,-0.2814069387217487,-3.01,7.37,0,1,1
ARNC,2012-12-31,0.05431369327711066,0.33440090577045356,0.33225722890324105,-0.1852102878512534,0.06341559394978918,0.3813969750763107,-0.4258598982408223,0.011745965913339894,0.41921097531216706,-0.02737930510714177,0.19333895394923264,-0.42832445283343396,2.0113051882492257,-0.3768388223353116,0.12356686322715409,-0.28813854943983086,-0.3347785739281245,0.14845311187964474,-0.12701299293841617,0.42739478702673467,0.2144717566746347,-1.4627546325484928,-0.3005415914370289,-0.26187552511777956,-0.2814060381299827,0.5925683212205598,0.277819118738977,-0.020271383820495974,-0.2508511853594422,0.15013083818394948,0.0047203465584506376,1.3142702877004837,-0.2332490033158854,-0.5647621456975874,-0.047907603246025304,-0.25494226607474185,0.031764540087637676,0.29631181768305037,-0.35269938236882087,-0.2969005354214141,-0.35146084655612325,-0.33025078963113197,-0.15468777455172256,-0.03786407220085509,-0.35609738435727073,-0.7839978631067829,0.8255571920764703,0.3774532301164501,0.14891243037193827,-1.0018788182119285,0.1289455769211867,0.38555122006862985,1.0960629291250412,0.020819085809239184,0.36895338170383296,-0.7260776895263235,-0.176020808984502,-0.6870263106496682,-0.5392497215143932,-0.16741643849038645,0.09925663320934289,0.3508266107829895,-0.3320778886607798,-0.19330780903233408,-0.1884472538091934,0.3073389838238806,-0.028062559824564747,0.028712732107369198,0.19904413060237933,0.34431853041758226,0.30783278843988493,0.05106754141652096,0.03308485718068062,-0.054840452427444626,-0.626655949478151,0.48024432761850405,Industrials,-0.7963575336781288,1.86,-6.03,1,0,1
ARNC,2013-12-31,0.08416898750338285,-0.12695720261596902,-0.08395970328390892,-0.10126792200096532,0.08351059464886888,0.3755017484657042,-0.49540323159012345,-0.12615155902647762,0.251074179531924,-0.02737930510714177,0.16023711463287685,-0.5549800259337001,1.6565196439606558,-0.3768388223353116,0.10702331550208596,-0.641611348125759,-0.6889251981153183,0.022328508863909614,-0.12701299293841617,0.3669986794012493,-0.03337224697229645,-1.3733792167967507,-0.26868980565300377,-0.125249890685656,-0.2814060381299827,0.5042810358288378,0.2476998694911713,-0.028730076608601378,-0.71177170360201,0.08659998829636574,0.009926997006130386,1.1417124213265026,-0.2332490033158854,-0.45731474203645817,-0.20184255276774185,-0.24203982427859672,0.06470715981750373,0.18178285012018291,-0.9417185996024288,2.0367851060288134,-0.9406636028363994,-0.8650282338522527,-0.14128896063829188,2.2074624331143387,-0.6958207332667304,-0.5908967775239226,0.7835003198287036,0.19926768879616072,0.04861594428860164,-1.0994019271949662,0.1289455769211867,0.20339746267771855,0.951195912464378,-0.1559790062148788,0.35128866628458844,-0.40707927652016235,-0.1352042372461237,-0.157022891889946,-0.641805566777989,-0.17111030785380493,0.01043552573192524,0.29947473115046275,-0.3307487166753062,-0.11753969514290856,-0.1884472538091934,0.20568355510910277,-0.07850855675240494,0.0449715218271258,0.05636132228267228,0.2799910633119664,0.20617641762162842,0.03620142977458496,0.04048728194599793,-0.009835138172982899,-1.0887140733936178,0.48690671173960054,Industrials,-0.7730592781977473,25.49,67.98,1,1,0
ARNC,2014-12-31,0.08483838871921855,-0.44896633132649255,-0.17879394099743676,-0.18121303233457303,0.07582721202863253,0.5806787530505387,-0.3960556125196933,0.0169496460997481,-0.6488128964750106,-0.007119092525565681,0.15581364014127413,-0.3175008263707011,1.6301741827511085,-0.3768388223353116,0.08634388084575081,-0.26280930892765597,-0.3061489636550476,0.09800327067335068,-0.12701299293841617,0.3109891392256271,0.22534582407110976,-1.1946283852932664,-0.195794107986208,-0.18072195278591668,-0.2814060381299827,0.5520038927973362,0.3423245108780277,0.025898980981246038,-0.9180201845276726,0.19146198768467868,0.014025849486218697,0.949059208488716,-0.2332490033158854,0.1382614164013473,0.1825499223385099,-0.22674804140909136,0.8755385311517698,-0.2862545502779761,-0.3343817411220568,0.9648787179189569,-0.3331374975118659,-0.3136199886597966,-0.08871133642103232,0.9174307587662244,-0.2567908277711632,-0.6874473203153527,0.8490890134531969,0.03313981568551498,0.03953397901333887,-1.4856996896258314,0.1289455769211867,-0.5249007777426378,0.924326722782065,-0.001280675693775564,0.328641595234275,-0.6805064876683004,-0.1705785994193849,-0.6870263106496682,-0.49651811932122836,-0.15190218716402884,0.014367614478339674,0.7418159221622915,-0.33231955629450227,-0.36320022935140683,-0.1884472538091934,0.24282203830645568,-0.01784914320989943,-0.01956490117092647,0.1501509042671919,0.27675888036618995,0.2433152450041828,0.055652000994722776,0.08527506203867415,0.03517017608147883,-0.6206810599447613,0.6958572207049486,Industrials,-0.74348682101842,-7.04,-18.93,0,0,2
ARNC,2015-12-31,0.034499417288373954,0.5377750923244684,-0.11952254242648187,-0.17721577681789263,0.08735228595898707,0.6656393718504561,-0.3662513267985642,0.030609306589069647,0.04031115383556301,0.006870101875998763,0.12410712499341046,-0.24625706650180135,1.3544250220911804,-0.3768388223353116,0.04829372107809412,-0.2991795004323174,-0.3473557437590716,-0.028121332342384436,-0.12701299293841617,0.23660219015478842,0.24709395886405983,-1.1946283852932664,-0.2174561725910036,-0.11651817720691125,-0.2814060381299827,0.6116574640079592,0.43268225862144494,0.04140658442610595,-1.1879366747825617,0.21627872592201608,-0.014666117874399488,0.7730064992514644,-0.2332490033158854,-0.3410056968362668,0.0054802405187318794,-0.241402666659034,0.13059239927723584,0.23139050085362833,-0.47473769353232687,1.0436557577486385,-0.47353718499383796,-0.4410508012973012,-0.13382633010422926,0.9673055892986421,-0.3058964596124554,-0.7357225917110678,1.4734332955123053,0.012373831546684259,0.09994879149660858,-1.771818071622759,0.1289455769211867,0.2090996672569123,0.8919542050925313,-0.40696915471340345,0.2874239259227045,-0.7260776895263235,-0.176020808984502,-0.6870263106496682,-0.49651811932122836,-0.13712670971035493,-0.005660314183303939,0.3001247549432795,-0.33425289736428204,-0.3725736042655626,-0.1884472538091934,0.22369148095309993,-0.010603138179224708,-0.044202453691048436,0.13591547442715973,0.25655773695508716,0.22418451035616743,0.025118610017572793,0.09877360131660573,0.08017549033594056,-0.7242458118568487,0.45778732470988703,Industrials,-0.799190050202246,-8.72,15.57,0,1,0
ATVI,2012-12-31,-0.36486534807920434,0.051936757778766274,-0.11688825804555054,-0.14923498820112993,0.4144870767513582,0.5998671377046697,0.9053981973029421,0.6940785303561161,0.014261791109046483,-0.2167962132110833,-0.3629797608034053,0.41868469227459604,-0.20756810028820027,-0.3719124262058043,-0.3454427147785273,-0.18357424886392928,-0.14711396092425644,0.8883841162386241,-0.12701299293841617,-0.44096087046934995,0.4878768797860072,0.8610061769968019,-0.308023554540659,-0.18637188503686916,-0.1921228832259715,-0.5766416745076512,-0.3787805148631883,0.057266633403803585,-0.043705971908015784,-0.5998761126906363,-0.20044383703948326,-0.13783692198841108,-0.2332490033158854,-0.287466612537766,0.3400440614445436,-0.27915425561812535,0.115089989992593,0.43327207079495406,-0.1247993782857044,-0.13395999150019222,-0.12348982857692116,-0.12333770741633643,-0.2471226300304531,-0.2028346655003909,-0.17756464108298184,0.5677097359732393,-0.5267715215094573,-0.1443758551786831,0.2906700622771267,0.27920295582206084,0.09617339669042305,0.1406732123065874,-0.3925872968281653,-0.23174961708235797,-0.29234109296532007,0.5954871643563439,-0.14608865637635793,0.6674268706251776,0.7170593829646544,0.1332645276918777,-0.26073160379884214,0.19969607895308472,-0.31491948666648417,-0.39561648426286206,-0.12319515089529649,-0.287861913760346,-0.1264702090982995,-0.2994554775736076,0.09600151922183878,-0.5022674744125794,-0.2873736252377094,-0.36829923669821246,0.27450343293023116,-0.054840452427444626,-0.4613506723877037,0.556946776930193,Information Technology,-0.7233030217668721,16.88,29.54,1,1,0
ATVI,2013-12-31,-0.3654008690518729,0.5114117718452442,-0.11688825804555054,-0.12924871061772802,0.41419156203519525,0.6266846391489973,1.1040934354438026,0.8407572656104976,0.2060798257315773,-0.2167962132110833,-0.3668688558262238,0.6007520786062286,-0.20756810028820027,-0.3638331365534122,-0.3504057790960477,-0.1975378045308975,-0.17011694258875174,1.1574499360055257,-0.12701299293841617,-0.44109939365197726,0.48589977662301176,0.905693884872673,-0.31814201892842536,-0.18637188503686916,-0.21417311693711366,-0.45017610354113047,-0.38831827712499345,0.20705598485983684,-0.2956878116476297,-0.1786232614473965,-0.20033305724272413,-0.13783692198841108,-0.2332490033158854,1.4641845316835291,0.18744380801694596,-0.29205669741427054,-0.08588767323331252,0.5264481799986429,-0.15786628910778497,-0.03431040265580859,-0.15656704308538577,-0.1533595429360197,-0.30868933193646997,-0.2028346655003909,-0.1919859976460379,0.5677097359732393,-0.5147552722958096,0.05658528164871095,0.18484542341754315,0.31487288673414465,0.02858077496447304,0.14320752545289572,-0.3853034803480202,-0.42433325303720076,-0.29234109296532007,0.5499159624983209,-0.12704092289844804,0.549648333123017,0.9136247530532129,0.11848905023820377,-0.23159004888382675,-1.5521180426881769,-0.3201153407915174,-0.3858525520606165,-0.18327100526073523,-0.29216915302074226,-0.128747524965083,-0.32409303009372953,-0.16105749269720365,-0.34392564249285745,-0.2916809044159452,-0.3743747583722372,-0.08715789131812929,-0.009835138172982899,-0.4713088216100199,0.47119415544339416,Information Technology,-0.6556556706561113,10.33,34.2,1,1,0
